you're useless,angry
this is dumb,angry
you suck,angry
worst bot ever,angry
shut up,angry
that was terrible,angry
you're an idiot,angry
you are such an idiot,angry
are you stupid?,angry
you don't know anything,angry
trash answer,angry
what a joke,angry
do you even read?,angry
This is so frustrating,angry
this chatbot fucking sucks,angry
whoever made you is an idiot,angry
you are useless as shit,angry
you are completely fucking useless,angry
that is not even what I asked you about,angry
do you know anything?,angry
you are such a dumbass,angry
that doesn't even answer my question,angry
you should be shutdown,angry
Your nose is big.,angry
You have no soul.,angry
your ear is weird,angry
You need new skin,angry
Or fix your hair.,angry
You get no pussy.,angry
Cut off your head,angry
Your chin is weak,angry
Your nose is funny,angry
Your have fat eyes,angry
Your head is huge.,angry
Your hair is crap.,angry
Who cut your hair?,angry
Your nose is huge.,angry
Your head is HUGE!,angry
Your head says no.,angry
you have ugly ears,angry
Your nose is 'eh'.,angry
You have Lego hair.,angry
You need a haircut.,angry
Your hair be like \,angry
Who cuts your hair?,angry
Fuck you back Brad.,angry
your lips look shit,angry
Your face is obese.,angry
You basic ass bitch,angry
Cry your heart out.,angry
Wtf is your gender?,angry
You have rat teeth.,angry
Also cut your hair.,angry
You have a fat nose.,angry
Your head is a Lego.,angry
Clean out your ears.,angry
you have a butt chin,angry
Your nails are gross,angry
You have a cat nose.,angry
Your beard says ISIS,angry
You look like my ass,angry
Where are your tits?,angry
Your boobs are tiny.,angry
You look like a foot,angry
Your face is falling,angry
Your eye is falling.,angry
You got puddin face.,angry
Your tits are small.,angry
You have weird eyes.,angry
Where are your lips.,angry
Your hair is stupid.,angry
You have T Rex arms.,angry
You look like a butt,angry
Your eyes are stupid,angry
"Dude, cut your hair.",angry
You look like a thumb,angry
And your nose is big.,angry
Pubes on your face...,angry
You have a tiny mouth,angry
You look like a dick.,angry
Your head is so tiny.,angry
Your face is crooked.,angry
Your eyes say murder.,angry
Your face says pussy.,angry
You look like a foot.,angry
You don't have teeth.,angry
Your cheeks are huge.,angry
You got obese cheeks.,angry
You got a bitch face.,angry
I dont like your face,angry
Is your face melting?,angry
Your eyes say kill me.,angry
You have a butt tounge,angry
Your hair is receding.,angry
You look like a thumb.,angry
Your ears are missing.,angry
Wash your greasy hair!,angry
Your face is 40% chin.,angry
You have beaver teeth.,angry
You can keep the acne.,angry
To hide all your chins,angry
Your eyes are divorced,angry
Your face is 80% nose.,angry
Bet you bone your palm,angry
You have a pointy face,angry
Your head is 60% chin.,angry
Your hair is thinning.,angry
Your whole head sucks.,angry
Your head is a muffin.,angry
God your head is long.,angry
And your hair's stupid,angry
Your face is confused.,angry
Sorry about your face.,angry
Your head looks weird.,angry
Your body is 60% neck.,angry
Cut your goddamn hair.,angry
Your skin doesn't fit.,angry
Your fingers are huge!,angry
You look like a penis.,angry
Your face says monkey.,angry
You could be two face.,angry
only your eye is lazy.,angry
Your chins could fuck.,angry
Brush your teeth more.,angry
Your fingers are ugly.,angry
Your nose has a bicep.,angry
your eyebrows look bad,angry
Your ears need Viagra.,angry
Your face is a square.,angry
And you have FAT head.,angry
Your face is 40% nose.,angry
Come at me you pussies,angry
Your hair looks awful.,angry
You don't have a head!,angry
Your body is 75% neck.,angry
Your dick looks small.,angry
Guess you are a pussy.,angry
Your eyes are too big.,angry
You have hand cankles.,angry
You make my penis sad.,angry
Your hairline said bye,angry
You have strange ears.,angry
You look like my dick.,angry
"No, your body is heavy.",angry
Your shoes are too big.,angry
Wash your fucking hair.,angry
Your neck fat grew hair,angry
I don't like your hair.,angry
Your face is far worse.,angry
Shovel 1 - 0 Your face.,angry
are you gender confused,angry
Your face says nervous.,angry
You dress like an aunt.,angry
Your nose ring is ugly.,angry
Your face gave me PTSD.,angry
Your boobs are crooked.,angry
Put your teeth back in.,angry
Did your mom dress you?,angry
Your face depressed me.,angry
I bet your dick is tiny,angry
Is your hairline drunk?,angry
Are your eyebrows fake?,angry
You have wrist cankles.,angry
You have 80's-Lady hair,angry
I dislike your eyebrows,angry
You have the body of ET,angry
Even your face is lazy.,angry
Your hair looks aweful!,angry
even your eye hates you,angry
Wash your goddamn hair.,angry
Your eyebrows look bad.,angry
Your faces belong on /.,angry
Your face is confusing.,angry
Flap your ears and fly!,angry
You will need more hair.,angry
Yo where's your hairline,angry
Your mouth is fucked up.,angry
Can't you afford makeup?,angry
You must be a new gender,angry
Your nose is a downvote.,angry
Do you even have wrists?,angry
Your nose has no tip lol,angry
Even your tits retreated,angry
Your mustache is uneven.,angry
You dress like a mormon.,angry
Do you have 2 lazy eyes?,angry
You have huge nose holes,angry
So keep your mouth shut.,angry
Your chin has buttcheeks,angry
Your chin has an asshole,angry
"Also, you have pig face.",angry
Your forehead is a 36DD.,angry
Shave your fucking face.,angry
Your head is a triangle.,angry
Bring home your eyebrows,angry
Your face confuses me...,angry
your hair is upside down,angry
Your hair has no volume.,angry
Your eyes are fucked up.,angry
Even your acne has acne.,angry
Your skin looks crunchy.,angry
Half a mop on your head.,angry
Your mom cuts your hair.,angry
Your toupee is terrible.,angry
Your heart is a failure.,angry
Brush your fucking teeth,angry
Your hair says bed head.,angry
And you dress like shit.,angry
Why is your face melting,angry
"Wow, your head is round.",angry
Cause your ass is basic.,angry
Your dick ain't that big.,angry
"Your eyes say, ""Help me.""",angry
You have a punch me face.,angry
jesus your hands are huge,angry
You should cut your hair.,angry
Your eyes are really big.,angry
You look like a testicle.,angry
Your friends are pussies.,angry
your lips have a sombrero,angry
your hands look like feet,angry
You have a punchable face,angry
Your nose holes are huge.,angry
"Also, fuck your eyebrows.",angry
Your makeup had a stroke.,angry
Your eyebrows say stroke.,angry
Your feet are ridiculous.,angry
It's a blob on your face.,angry
Your forehead nether ends,angry
I like your legoman hair.,angry
Your upper lip is missing,angry
You don't even have ears.,angry
